,iee,tadd
0,1.07E+00,6.24E+04
1,3.22E-01,3.06E+04
2,6.58E-01,2.85E+04
3,1.14E+00,8.21E+04
4,1.04E+00,7.16E+04
5,7.41E-01,4.00E+04
6,2.31E-01,1.43E+04
7,6.83E-01,3.97E+04
8,7.68E-01,3.64E+04
9,2.77E-01,3.64E+04
10,3.13E-01,3.28E+04
11,8.92E-01,6.08E+04
12,3.56E-01,9.83E+03
13,3.36E-01,3.64E+04
14,1.67E+00,8.98E+04
15,1.10E+00,7.03E+04
16,6.69E-01,3.29E+04
17,2.44E-01,3.06E+04
18,2.35E-01,3.06E+04
19,8.75E-01,5.52E+04
20,9.65E-01,7.80E+04
21,8.80E-01,5.64E+04
22,2.58E-01,3.64E+04
23,7.76E-01,5.05E+04
24,8.64E-01,5.50E+04
25,6.69E-01,2.45E+04
26,7.21E-01,4.11E+04
27,6.93E-01,3.29E+04
28,7.16E-01,3.97E+04
29,4.43E-01,4.72E+04
30,2.14E-01,2.44E+04
31,2.71E-01,3.06E+04
32,8.61E-01,6.70E+04
33,9.58E-01,6.92E+04
34,2.88E-01,8.27E+03
35,2.41E-01,3.17E+04
36,3.68E-01,1.43E+04
37,3.36E-01,3.64E+04
38,8.41E-01,4.82E+04
39,3.95E-01,2.21E+04
40,2.87E-01,8.27E+03
41,3.07E-01,3.06E+04
42,2.96E-01,3.64E+04
43,2.41E-01,3.17E+04
44,1.87E-01,1.98E+04
45,8.09E-01,5.17E+04
46,3.26E-01,2.95E+04
47,4.54E-01,4.58E+04